GeomID,Local knowledge event,Remote event,Early import,Geometry import,Late import,Tag import
252,0.0,19.14,43.65,0.0,0.0,0.0
253,0.0,0.0,0.0,19.31,11.18,0.0
254,10.78,5.08,2.26,12.24,12.55,0.0
255,0.0,0.0,33.05,0.0,13.72,0.0
256,0.0,49.25,8.97,0.0,0.0,10.7
257,0.0,34.25,18.76,0.0,0.0,0.0
258,0.0,39.81,0.0,0.0,7.65,13.84
259,0.0,47.45,0.0,0.0,8.04,16.52
260,39.22,0.0,10.23,0.0,12.23,7.75
261,0.0,42.52,0.0,0.0,0.0,0.0
262,0.0,31.4,0.0,0.0,0.0,0.0
263,0.0,49.37,8.28,0.0,0.0,6.65
264,0.0,5.08,11.28,0.0,34.05,6.33
265,4.11,10.57,0.0,0.0,16.19,4.7
266,24.04,3.98,7.22,7.68,10.65,11.62
267,17.82,6.41,6.0,14.14,10.15,4.08
268,29.55,4.13,3.51,0.0,1.69,0.0
269,27.56,3.68,12.76,7.51,8.13,4.6
270,2.68,0.0,4.63,8.6,8.92,0.0
271,14.79,3.89,6.58,21.63,9.77,7.29
272,18.23,2.35,4.33,0.0,22.02,0.0
273,0.0,0.0,0.0,0.0,25.74,0.0
274,0.0,32.97,0.0,0.0,5.18,0.0
275,5.09,2.11,4.57,0.0,0.0,0.0
276,12.15,0.0,0.0,2.75,20.28,0.0
277,38.48,4.58,9.63,11.58,5.1,3.53
278,6.67,3.54,0.0,0.0,10.85,0.0
279,13.89,4.06,8.96,0.0,3.11,0.0
280,15.99,7.97,0.0,2.84,10.85,0.0
281,8.12,6.84,0.0,0.0,2.83,0.0
282,0.0,0.0,0.0,17.59,8.52,0.0
283,7.86,0.0,0.0,0.0,11.13,0.0
284,11.82,0.0,0.0,0.0,15.46,0.0
285,0.0,0.0,71.18,0.0,0.0,0.0
286,24.97,7.08,5.69,0.0,9.09,3.11
287,0.0,0.0,72.33,0.0,0.0,0.0
288,9.79,0.0,0.0,41.22,18.17,0.0
289,12.0,0.0,0.0,36.85,18.02,0.0
290,6.25,6.31,7.94,8.61,14.12,0.0
291,16.02,0.0,0.0,6.89,0.0,0.0
292,3.15,0.0,0.0,10.75,3.75,0.0
293,8.36,0.0,23.81,4.17,34.41,0.0
294,5.17,0.0,25.16,7.45,20.01,0.0
295,0.0,0.0,48.81,0.0,3.7,4.87
296,0.0,0.0,41.43,4.11,3.74,4.79
297,2.75,0.0,40.55,2.72,0.0,0.0
298,0.0,0.0,49.52,0.0,5.38,7.35
299,11.8,0.0,41.52,8.34,11.8,9.19
300,3.97,0.0,13.74,4.65,32.5,0.0
301,0.0,0.0,30.35,20.23,21.95,0.0
302,0.0,0.0,14.2,24.29,14.45,0.0
303,0.0,30.38,12.63,0.0,0.0,0.0
304,10.44,2.82,6.04,0.0,0.0,0.0
305,8.72,0.0,22.7,0.0,0.0,0.0
306,17.58,22.86,0.0,0.0,0.0,0.0
307,32.42,3.75,0.0,8.1,20.13,0.0
308,0.0,0.0,14.41,0.0,3.35,0.0
309,41.08,4.85,0.0,0.0,9.32,0.0
310,8.38,0.0,2.63,0.0,9.42,0.0
311,0.0,0.0,17.04,4.27,3.03,0.0
312,10.04,0.0,3.85,8.13,4.11,0.0
313,0.0,72.55,7.16,0.0,0.0,0.0
314,0.0,33.6,22.84,0.0,7.63,3.46
315,0.0,0.0,29.79,9.12,14.28,5.64
316,0.0,0.0,88.54,0.0,0.0,0.0
317,4.67,4.44,15.18,8.89,14.5,0.0
318,0.0,0.0,86.63,0.0,0.0,0.0
319,0.0,0.0,36.16,0.0,0.0,0.0
320,0.0,0.0,78.28,5.23,0.0,0.0
321,0.0,24.47,19.23,9.2,0.0,0.0
322,0.0,0.0,87.61,0.0,0.0,0.0
323,0.0,0.0,89.01,3.58,0.0,0.0
324,0.0,0.0,31.84,18.69,11.56,5.21
325,0.0,0.0,48.08,6.68,10.23,13.35
326,7.87,0.0,38.37,8.98,17.1,3.19
327,0.0,0.0,84.9,0.0,0.0,0.0
328,0.0,0.0,67.18,0.0,2.62,7.14
329,0.0,0.0,80.11,0.0,0.0,0.0
330,8.88,0.0,57.36,3.52,0.0,5.4
331,6.01,3.88,15.48,12.47,10.41,8.33
332,0.0,0.0,42.42,0.0,0.0,0.0
333,0.0,0.0,31.37,0.0,22.56,0.0
334,0.0,0.0,76.03,0.0,0.0,0.0
335,0.0,0.0,82.46,0.0,0.0,0.0
336,0.0,0.0,69.0,9.05,3.62,0.0
337,4.04,6.33,0.0,8.32,0.0,0.0
338,0.0,0.0,76.57,0.0,0.0,0.0
339,0.0,0.0,82.23,0.0,0.0,0.0
340,0.0,5.16,55.72,6.73,0.0,1.95
341,0.0,0.0,93.7,0.0,0.0,0.0
342,0.0,0.0,91.89,0.0,0.0,0.0
343,0.0,53.39,5.29,0.0,0.0,0.0
344,0.0,0.0,28.7,0.0,0.0,0.0
345,10.2,6.66,0.0,8.24,20.06,6.48
346,0.0,0.0,81.86,0.0,0.0,0.0
347,0.0,26.87,29.95,7.88,0.0,3.7
348,0.0,0.0,31.62,0.0,34.41,0.0
349,0.0,0.0,53.13,0.0,0.0,6.02
350,0.0,0.0,77.89,0.0,0.0,0.0
351,1.26,0.0,51.48,7.27,14.75,7.36
352,0.0,0.0,70.49,5.37,0.0,0.0
353,0.0,8.74,15.39,0.0,3.23,0.0
354,0.0,0.0,14.65,0.0,12.78,0.0
355,0.0,0.0,63.54,0.0,0.0,0.0
356,0.0,0.0,93.04,0.0,0.0,0.0
357,0.0,3.4,25.09,16.71,0.0,0.0
358,0.0,0.0,95.69,0.0,0.0,0.0
359,0.0,0.0,94.3,0.0,0.0,0.0
360,10.95,4.08,0.0,6.84,2.78,0.0
361,0.0,0.0,44.19,0.0,14.81,0.0
362,10.5,0.0,0.0,3.4,15.31,0.0
363,12.32,0.0,0.0,0.0,0.0,3.77
364,0.0,0.0,42.38,14.61,7.71,9.16
365,0.0,0.0,43.26,0.0,6.76,0.0
366,0.0,0.0,83.11,0.0,0.0,0.0
367,0.0,0.0,96.18,0.0,0.0,0.0
368,16.5,29.21,19.43,0.0,4.85,0.0
369,0.0,0.0,31.87,0.0,34.01,0.0
370,0.0,0.0,35.0,0.0,33.69,0.0
371,0.0,0.0,14.44,0.0,34.19,0.0
372,2.62,0.0,48.0,2.82,10.06,0.0
373,0.0,0.0,23.35,0.0,27.76,6.62
374,0.0,3.17,20.44,0.0,0.0,0.0
375,11.26,0.0,2.63,0.0,12.66,0.0
376,0.0,0.0,14.52,0.0,11.45,0.0
377,0.0,4.37,17.29,0.0,10.9,0.0
378,0.0,7.82,15.9,3.58,9.72,0.0
379,0.0,0.0,23.06,0.0,5.92,0.0
380,0.0,3.62,7.25,0.0,7.89,0.0
381,12.5,8.78,6.56,1.79,9.41,0.0
382,23.97,11.87,7.87,0.0,10.42,0.0
383,0.0,44.28,0.0,18.89,0.0,0.0
384,23.0,0.0,4.95,29.21,4.08,0.0
385,0.0,8.46,6.46,6.86,0.0,0.0
386,15.19,0.0,3.72,0.0,3.92,0.0
387,0.0,0.0,30.97,0.0,11.18,0.0
388,6.96,0.0,10.54,0.0,0.0,0.0
389,15.68,0.0,7.89,3.58,0.0,0.0
390,11.29,17.66,8.03,0.0,0.0,0.0
391,0.0,0.0,23.31,0.0,14.95,0.0
392,25.11,5.78,7.45,0.0,0.0,0.0
393,7.96,0.0,18.22,10.17,9.58,0.0
394,43.63,14.58,0.0,0.0,7.54,0.0
395,0.0,0.0,22.03,4.31,18.87,0.0
396,24.57,0.0,0.0,0.0,17.41,5.7
397,0.0,0.0,12.12,6.44,15.78,0.0
398,31.86,0.0,16.72,0.0,0.0,0.0
399,0.0,40.68,10.26,0.0,0.0,0.0
400,0.0,51.07,8.44,0.0,0.0,0.0
401,13.62,49.04,0.0,0.0,0.0,0.0
402,3.39,7.11,23.11,37.76,0.0,6.94
403,14.71,12.49,20.33,14.25,0.0,10.84
404,0.0,0.0,24.7,0.0,0.0,0.0
405,0.0,0.0,28.05,0.0,23.67,9.78
406,22.47,0.0,1.92,3.45,2.23,0.0
407,5.25,0.0,54.57,0.0,0.0,7.76
408,3.54,1.03,23.54,4.45,39.98,5.14
409,5.96,5.05,30.07,0.0,10.56,3.68
410,8.97,12.53,0.0,4.51,25.7,0.0
411,5.38,7.54,39.06,0.0,4.95,10.45
412,9.81,3.04,2.96,6.03,22.38,0.0
413,15.62,5.81,9.87,2.32,2.72,0.0
414,0.0,4.51,13.33,5.9,8.54,3.24
415,8.51,9.72,9.52,0.0,17.31,0.0
416,0.0,0.0,0.0,0.0,52.34,3.23
417,10.13,21.41,0.0,0.0,6.92,0.0
418,0.0,0.0,21.91,3.67,12.72,4.26
419,20.25,8.72,1.99,6.37,1.44,1.86
420,4.12,0.0,23.2,0.0,0.0,0.0
421,0.0,0.0,14.79,0.0,3.87,0.0
422,0.0,8.27,9.25,0.0,4.4,0.0
423,14.3,0.0,3.14,0.0,0.0,0.0
424,4.76,5.64,0.0,0.0,12.36,0.0
425,0.0,0.0,24.01,0.0,0.0,0.0
426,0.0,22.08,0.0,6.34,0.0,0.0
427,0.0,0.0,16.62,3.99,5.79,0.0
428,0.0,71.17,0.0,0.0,0.0,0.0
429,4.05,0.0,18.18,0.0,12.65,0.0
430,0.0,71.87,0.0,0.0,5.74,0.0
431,0.0,83.53,0.0,0.0,0.0,0.0
432,0.0,19.32,3.5,0.0,0.0,0.0
433,0.0,85.04,0.0,0.0,0.0,0.0
434,0.0,10.48,22.5,0.0,0.0,0.0
435,12.47,64.41,0.0,0.0,0.0,0.0
